lead_cities,city
Charite,berlin
Bochum,bochum
Duisburg,duisburg-essen
Erlangen,erlangen
Hamburg,hamburg
Hannover,hannover
Leipzig,leipzig
Magdeburg,magdeburg
Rostock,rostock
Witten-Herdecke,witten
Würzburg,wurzburg
Berlin,berlin
